FR,EN,Name,MEM,POW,TR,TIM
1600.0,1556.28,game1,1181188.0,144.56,16,10.77
1600.0,1562.58,game1,1179168.0,144.48,16,10.76
1600.0,1561.99,game1,1175640.0,144.44,16,10.76
1600.0,1562.09,game1,1174068.0,144.45,16,10.78
1600.0,1560.69,game1,1180328.0,144.31,16,10.77
1600.0,1554.57,game1,1182852.0,144.38,16,10.76
1600.0,1561.36,game1,1183052.0,144.37,16,10.77
1600.0,1556.16,game1,1177556.0,144.57,16,10.77
1600.0,1556.24,game1,1172948.0,144.56,16,10.77
1600.0,1562.02,game1,1180060.0,144.44,16,10.77
1600.0,1557.27,game1,1178136.0,144.66,32,10.76
1600.0,1559.16,game1,1190212.0,144.15,32,10.77
1600.0,1561.3,game1,1189988.0,144.37,32,10.77
1600.0,1560.85,game1,1189056.0,144.4,32,10.78
1600.0,1557.06,game1,1183772.0,144.64,32,10.77
1600.0,1555.34,game1,1181612.0,144.44,32,10.76
1600.0,1556.62,game1,1178400.0,144.56,32,10.77
1600.0,1560.9,game1,1178540.0,144.31,32,10.77
1600.0,1556.55,game1,1183444.0,144.59,32,10.77
1600.0,1554.73,game1,1177800.0,144.43,32,10.76
2200.0,11332.77,game1,1182916.0,100.92,1,112.26
2200.0,11319.89,game1,1184828.0,100.85,1,112.25
2200.0,11313.23,game1,1171784.0,100.78,1,112.21
2200.0,11317.63,game1,1178464.0,100.78,1,112.28
2200.0,11309.88,game1,1180544.0,100.76,1,112.22
2200.0,11311.39,game1,1179452.0,100.73,1,112.29
2200.0,11343.65,game1,1179724.0,100.88,1,112.43
2200.0,11308.15,game1,1180132.0,100.74,1,112.26
2200.0,11316.14,game1,1168260.0,100.72,1,112.34
2200.0,11303.2,game1,1178436.0,100.7,1,112.25
2400.0,1413.19,game1,1172044.0,196.01,16,7.18
2400.0,1419.85,game1,1191012.0,196.5,16,7.19
2400.0,1413.42,game1,1173236.0,197.11,16,7.18
2400.0,1424.13,game1,1177972.0,197.29,16,7.18
2400.0,1419.95,game1,1180340.0,196.59,16,7.18
2400.0,1424.98,game1,1173328.0,197.32,16,7.19
2400.0,1419.49,game1,1177368.0,196.61,16,7.2
2400.0,1417.21,game1,1174000.0,196.39,16,7.19
2400.0,1427.16,game1,1179184.0,197.63,16,7.19
2400.0,1419.46,game1,1180776.0,196.51,16,7.19
2300.0,2105.05,game1,1176936.0,144.07,32,14.62
2300.0,2115.47,game1,1169312.0,144.3,32,14.61
2300.0,2095.44,game1,1189416.0,143.4,32,14.62
2300.0,2105.59,game1,1181232.0,143.67,32,14.63
2300.0,2118.33,game1,1175320.0,143.5,32,14.71
2300.0,2104.93,game1,1176216.0,143.98,32,14.62
2300.0,2108.72,game1,1173760.0,143.91,32,14.62
2300.0,2113.36,game1,1184408.0,144.6,32,14.62
2300.0,2110.04,game1,1157712.0,143.91,32,14.61
2300.0,2101.98,game1,1177444.0,143.84,32,14.62
2800.0,2058.12,game1,1170896.0,175.69,16,11.66
2800.0,2049.74,game1,1175224.0,174.94,16,11.66
2800.0,2059.4,game1,1170976.0,175.79,16,11.67
2800.0,2046.4,game1,1161104.0,175.37,16,11.66
2800.0,2050.17,game1,1164420.0,175.69,16,11.67
2800.0,2035.64,game1,1175748.0,173.92,16,11.66
2800.0,2045.2,game1,1181444.0,174.59,16,11.67
2800.0,2036.77,game1,1161540.0,174.63,16,11.68
2800.0,2061.43,game1,1176728.0,175.17,16,11.79
2800.0,2060.24,game1,1187056.0,175.93,16,11.7
2800.0,2045.98,game1,1167824.0,175.42,32,11.66
2800.0,2048.97,game1,1163884.0,175.63,32,11.66
2800.0,2054.03,game1,1168832.0,175.31,32,11.66
2800.0,2056.75,game1,1173608.0,175.54,32,11.67
2800.0,2053.2,game1,1173944.0,175.28,32,11.7
2800.0,2049.68,game1,1177328.0,175.69,32,11.66
2800.0,2054.15,game1,1167440.0,176.07,32,11.66
2800.0,2048.86,game1,1190752.0,175.67,32,11.67
2800.0,2049.33,game1,1173256.0,174.88,32,11.67
2800.0,2056.35,game1,1171360.0,175.52,32,11.68
