FR,EN,Name,MEM,POW,TR,TIM
1600.0,125.67,enwik8,472748.0,146.05,16,0.85
1600.0,124.36,enwik8,468412.0,146.24,16,0.86
1600.0,125.53,enwik8,467548.0,145.53,16,0.84
1600.0,126.58,enwik8,468992.0,146.43,16,0.86
1600.0,126.26,enwik8,470640.0,146.24,16,0.85
1600.0,125.86,enwik8,459976.0,146.22,16,0.84
1600.0,125.7,enwik8,470172.0,145.76,16,0.86
1600.0,130.82,enwik8,471580.0,143.42,16,0.87
1600.0,130.85,enwik8,463180.0,143.46,16,0.88
1600.0,126.35,enwik8,471108.0,146.31,16,0.84
1600.0,125.49,enwik8,473040.0,145.68,32,0.84
1600.0,130.64,enwik8,465972.0,143.45,32,0.86
1600.0,126.07,enwik8,475196.0,146.24,32,0.85
1600.0,133.81,enwik8,475620.0,140.5,32,0.95
1600.0,130.94,enwik8,465464.0,143.51,32,0.85
1600.0,126.2,enwik8,465648.0,146.18,32,0.84
1600.0,131.03,enwik8,472344.0,143.63,32,0.86
1600.0,135.67,enwik8,477876.0,140.73,32,0.93
1600.0,125.53,enwik8,468476.0,145.71,32,0.85
1600.0,126.94,enwik8,466464.0,146.71,32,0.84
2400.0,115.53,enwik8,466128.0,187.93,16,0.59
2400.0,113.75,enwik8,470900.0,184.95,16,0.61
2400.0,115.24,enwik8,471448.0,186.58,16,0.62
2400.0,117.68,enwik8,475356.0,190.09,16,0.61
2400.0,116.76,enwik8,467740.0,190.22,16,0.59
2400.0,121.67,enwik8,467484.0,183.15,16,0.62
2400.0,121.15,enwik8,462484.0,182.73,16,0.59
2400.0,121.99,enwik8,471660.0,182.84,16,0.64
2400.0,114.34,enwik8,463568.0,186.84,16,0.6
2400.0,120.23,enwik8,465788.0,181.74,16,0.62
2300.0,121.08,enwik8,469548.0,181.88,32,0.66
2300.0,120.18,enwik8,473752.0,180.05,32,0.67
2300.0,127.93,enwik8,474048.0,178.54,32,0.69
2300.0,126.84,enwik8,473364.0,176.17,32,0.65
2300.0,123.76,enwik8,468564.0,174.17,32,0.69
2300.0,125.83,enwik8,473780.0,177.84,32,0.69
2300.0,121.68,enwik8,462676.0,182.33,32,0.65
2300.0,120.9,enwik8,472964.0,181.6,32,0.65
2300.0,120.77,enwik8,464788.0,181.72,32,0.65
2300.0,120.79,enwik8,465820.0,181.35,32,0.66
2800.0,377.95,enwik8,467244.0,118.04,2,3.21
2800.0,383.64,enwik8,465248.0,117.96,2,3.24
2800.0,395.91,enwik8,467312.0,118.12,2,3.36
2800.0,384.12,enwik8,458924.0,118.14,2,3.25
2800.0,397.63,enwik8,467360.0,118.19,2,3.38
2800.0,395.22,enwik8,468460.0,117.91,2,3.34
2800.0,390.15,enwik8,455936.0,118.1,2,3.32
2800.0,402.19,enwik8,468404.0,118.26,2,3.38
2800.0,395.52,enwik8,463164.0,117.95,2,3.33
2800.0,401.92,enwik8,466668.0,118.23,2,3.38
2800.0,115.44,enwik8,463808.0,222.26,16,0.51
2800.0,114.08,enwik8,470692.0,221.54,16,0.52
2800.0,114.44,enwik8,457428.0,222.35,16,0.51
2800.0,114.21,enwik8,475536.0,222.21,16,0.51
2800.0,122.56,enwik8,465784.0,216.97,16,0.56
2800.0,116.22,enwik8,464004.0,223.35,16,0.51
2800.0,115.16,enwik8,468736.0,222.42,16,0.52
2800.0,116.2,enwik8,476028.0,223.03,16,0.51
2800.0,114.26,enwik8,470548.0,221.95,16,0.52
2800.0,115.75,enwik8,467444.0,223.14,16,0.51
2800.0,114.68,enwik8,466480.0,222.16,32,0.52
2800.0,123.79,enwik8,466696.0,219.53,32,0.51
2800.0,115.36,enwik8,462200.0,223.38,32,0.5
2800.0,114.77,enwik8,462708.0,222.3,32,0.51
2800.0,122.99,enwik8,477428.0,216.34,32,0.53
2800.0,123.86,enwik8,476864.0,218.08,32,0.53
2800.0,128.46,enwik8,476988.0,208.79,32,0.58
2800.0,121.97,enwik8,458572.0,215.03,32,0.51
2800.0,123.02,enwik8,478000.0,216.62,32,0.52
2800.0,122.22,enwik8,475280.0,215.11,32,0.52
