FR,EN,Name,MEM,POW,TR,TIM
1600.0,547.71,game1,99920.0,145.65,16,3.73
1600.0,541.93,game1,102760.0,146.01,16,3.66
1600.0,540.48,game1,100904.0,147.69,16,3.64
1600.0,545.45,game1,98512.0,146.9,16,3.67
1600.0,546.44,game1,99088.0,147.13,16,3.68
1600.0,550.89,game1,98036.0,146.39,16,3.73
1600.0,539.46,game1,97780.0,147.54,16,3.68
1600.0,545.21,game1,98292.0,146.87,16,3.67
1600.0,554.26,game1,99760.0,143.59,16,3.85
1600.0,556.52,game1,99272.0,142.4,16,3.9
1600.0,427.64,game1,202752.0,157.7,32,2.68
1600.0,425.02,game1,187944.0,156.94,32,2.69
1600.0,427.26,game1,190052.0,157.14,32,2.69
1600.0,426.24,game1,187712.0,157.12,32,2.67
1600.0,425.84,game1,187360.0,157.12,32,2.68
1600.0,420.07,game1,188252.0,157.96,32,2.67
1600.0,427.56,game1,194876.0,157.6,32,2.71
1600.0,426.02,game1,189480.0,157.23,32,2.72
1600.0,426.03,game1,197796.0,157.24,32,2.68
1600.0,425.86,game1,197796.0,156.91,32,2.66
2400.0,496.95,game1,100600.0,190.77,16,2.59
2400.0,501.64,game1,100140.0,191.97,16,2.6
2400.0,493.51,game1,103440.0,200.46,16,2.46
2400.0,493.2,game1,101104.0,192.78,16,2.57
2400.0,500.61,game1,101960.0,199.43,16,2.52
2400.0,496.56,game1,100404.0,197.66,16,2.52
2400.0,502.71,game1,99788.0,193.38,16,2.58
2400.0,492.32,game1,99068.0,199.88,16,2.44
2400.0,512.92,game1,99472.0,188.91,16,2.66
2400.0,502.02,game1,98704.0,199.75,16,2.48
2300.0,420.06,game1,194320.0,203.75,32,2.05
2300.0,417.95,game1,204496.0,202.72,32,2.06
2300.0,415.85,game1,189612.0,201.93,32,2.05
2300.0,418.94,game1,200144.0,202.57,32,2.07
2300.0,410.13,game1,195608.0,203.92,32,2.03
2300.0,418.29,game1,200336.0,202.48,32,2.05
2300.0,423.32,game1,201640.0,200.43,32,2.06
2300.0,416.48,game1,208568.0,202.44,32,2.06
2300.0,418.04,game1,203268.0,201.94,32,2.03
2300.0,416.77,game1,199452.0,202.38,32,2.03
2800.0,532.14,game1,100972.0,225.53,16,2.33
2800.0,533.45,game1,101400.0,221.26,16,2.38
2800.0,522.64,game1,99992.0,236.38,16,2.2
2800.0,530.91,game1,101748.0,224.61,16,2.3
2800.0,524.29,game1,100108.0,231.53,16,2.23
2800.0,504.56,game1,99676.0,233.66,16,2.18
2800.0,522.9,game1,101288.0,221.88,16,2.34
2800.0,519.59,game1,98756.0,239.78,16,2.14
2800.0,526.96,game1,98880.0,232.88,16,2.26
2800.0,515.01,game1,99916.0,209.33,16,2.47
2800.0,444.62,game1,193068.0,245.02,32,1.76
2800.0,443.78,game1,194900.0,244.63,32,1.76
2800.0,438.5,game1,207008.0,242.33,32,1.79
2800.0,434.69,game1,197304.0,246.91,32,1.75
2800.0,439.85,game1,197796.0,244.02,32,1.8
2800.0,435.67,game1,205196.0,247.14,32,1.77
2800.0,438.8,game1,205520.0,249.01,32,1.75
2800.0,435.06,game1,189980.0,247.06,32,1.75
2800.0,435.69,game1,196700.0,247.35,32,1.77
2800.0,435.74,game1,201416.0,247.51,32,1.76
