FR,EN,Name,MEM,POW,TR,TIM
1200.0,1996.51,cr_audio1.wav,161272.0,97.38,8,14.09
1200.0,1406.3,cr_audio1.wav,174836.0,99.7,8,14.37
1200.0,1428.34,cr_audio1.wav,175844.0,99.23,8,14.33
1200.0,1427.53,cr_audio1.wav,170720.0,99.45,8,14.36
1200.0,1424.26,cr_audio1.wav,172504.0,99.28,8,14.3
1200.0,1419.82,cr_audio1.wav,164528.0,99.26,8,14.32
1200.0,1427.32,cr_audio1.wav,166592.0,99.43,8,14.42
1200.0,1431.64,cr_audio1.wav,171004.0,99.41,8,14.39
1200.0,1425.97,cr_audio1.wav,166276.0,99.01,8,14.36
1200.0,1429.87,cr_audio1.wav,177452.0,99.28,8,14.39
2200.0,2208.49,cr_audio1.wav,36264.0,101.75,2,17.08
2200.0,1810.23,cr_audio1.wav,36188.0,105.84,2,16.42
2200.0,1758.15,cr_audio1.wav,36196.0,106.87,2,16.44
2200.0,1758.17,cr_audio1.wav,36196.0,106.87,2,17.09
2200.0,1804.03,cr_audio1.wav,35888.0,105.51,2,17.54
2200.0,1843.52,cr_audio1.wav,35876.0,104.97,2,16.43
2200.0,1752.23,cr_audio1.wav,36276.0,106.51,2,17.1
2200.0,1819.32,cr_audio1.wav,36196.0,106.04,2,16.43
2200.0,1742.02,cr_audio1.wav,39024.0,106.21,2,16.44
2200.0,1745.35,cr_audio1.wav,36196.0,106.42,2,16.54
2200.0,952.25,cr_audio1.wav,206108.0,116.75,16,5.95
2200.0,718.58,cr_audio1.wav,216060.0,120.44,16,5.7
2200.0,703.38,cr_audio1.wav,209164.0,122.11,16,5.69
2200.0,700.15,cr_audio1.wav,216428.0,122.62,16,5.67
2200.0,693.87,cr_audio1.wav,212332.0,122.59,16,5.78
2200.0,706.98,cr_audio1.wav,197004.0,121.72,16,4.99
2200.0,640.6,cr_audio1.wav,205404.0,127.79,16,5.67
2200.0,692.93,cr_audio1.wav,213452.0,122.38,16,5.68
2200.0,693.41,cr_audio1.wav,215260.0,122.5,16,5.61
2200.0,688.8,cr_audio1.wav,204488.0,122.75,16,5.01
2400.0,1724.2,cr_audio1.wav,69732.0,108.75,4,10.95
2400.0,1238.4,cr_audio1.wav,75372.0,113.01,4,10.9
2400.0,1262.82,cr_audio1.wav,73460.0,115.79,4,10.99
2400.0,1243.73,cr_audio1.wav,79504.0,112.98,4,10.93
2400.0,1222.44,cr_audio1.wav,69960.0,112.08,4,10.38
2400.0,1220.97,cr_audio1.wav,70360.0,117.36,4,11.0
2400.0,1262.28,cr_audio1.wav,72320.0,114.6,4,10.93
2400.0,1263.79,cr_audio1.wav,72852.0,115.3,4,11.35
2400.0,1275.36,cr_audio1.wav,71604.0,112.27,4,10.92
2400.0,1258.86,cr_audio1.wav,74732.0,114.96,4,10.83
2400.0,667.86,cr_audio1.wav,286724.0,126.95,32,3.82
2400.0,525.71,cr_audio1.wav,285652.0,136.29,32,3.85
2400.0,524.83,cr_audio1.wav,282616.0,135.85,32,3.87
2400.0,537.28,cr_audio1.wav,286656.0,139.21,32,3.92
2400.0,528.66,cr_audio1.wav,284404.0,135.03,32,3.79
2400.0,520.83,cr_audio1.wav,288652.0,136.59,32,3.82
2400.0,524.75,cr_audio1.wav,285156.0,136.03,32,3.82
2400.0,526.7,cr_audio1.wav,286588.0,136.33,32,3.83
2400.0,521.63,cr_audio1.wav,284332.0,136.73,32,3.82
2400.0,519.67,cr_audio1.wav,287936.0,136.26,32,3.84
2700.0,376.81,cr_audio1.wav,26012.0,147.01,1,18.25
2700.0,1953.3,cr_audio1.wav,26064.0,107.01,1,17.5
2700.0,1878.06,cr_audio1.wav,26148.0,107.23,1,18.27
2700.0,1942.3,cr_audio1.wav,25908.0,106.1,1,17.89
2700.0,1913.93,cr_audio1.wav,25964.0,106.88,1,17.51
2700.0,1875.94,cr_audio1.wav,26160.0,107.25,1,18.28
2700.0,1951.89,cr_audio1.wav,26120.0,106.64,1,17.76
2700.0,1915.66,cr_audio1.wav,26128.0,107.63,1,18.26
2700.0,1966.95,cr_audio1.wav,26064.0,107.49,1,18.25
2700.0,1926.94,cr_audio1.wav,26120.0,105.59,1,17.71
2700.0,1200.04,cr_audio1.wav,172296.0,119.94,8,6.77
2700.0,865.79,cr_audio1.wav,175404.0,128.02,8,6.78
2700.0,874.9,cr_audio1.wav,172680.0,128.44,8,6.84
2700.0,909.83,cr_audio1.wav,176436.0,125.32,8,6.41
2700.0,842.15,cr_audio1.wav,164316.0,130.32,8,6.79
2700.0,866.53,cr_audio1.wav,174348.0,127.39,8,6.79
2700.0,871.03,cr_audio1.wav,175308.0,127.88,8,6.82
2700.0,871.5,cr_audio1.wav,175212.0,127.96,8,6.1
2700.0,812.72,cr_audio1.wav,159636.0,133.12,8,6.86
2700.0,875.09,cr_audio1.wav,174892.0,126.63,8,6.81
1700.0,2129.7,cr_audio1.wav,75740.0,99.49,4,15.12
1700.0,1541.66,cr_audio1.wav,74880.0,102.06,4,15.14
1700.0,1549.73,cr_audio1.wav,76120.0,102.26,4,15.22
1700.0,1563.91,cr_audio1.wav,75008.0,102.52,4,15.17
1700.0,1552.33,cr_audio1.wav,75556.0,102.44,4,15.12
1700.0,1552.19,cr_audio1.wav,73884.0,102.67,4,15.42
1700.0,1579.79,cr_audio1.wav,74912.0,102.22,4,15.12
1700.0,1542.93,cr_audio1.wav,77252.0,102.14,4,14.4
1700.0,1476.62,cr_audio1.wav,75152.0,102.53,4,15.15
1700.0,1550.69,cr_audio1.wav,74876.0,102.32,4,14.93
1700.0,794.85,cr_audio1.wav,286744.0,111.03,32,5.1
1700.0,597.58,cr_audio1.wav,286424.0,116.94,32,5.14
1700.0,598.67,cr_audio1.wav,286132.0,116.06,32,5.05
1700.0,613.48,cr_audio1.wav,287412.0,120.14,32,5.06
1700.0,604.95,cr_audio1.wav,286796.0,118.49,32,5.08
1700.0,594.89,cr_audio1.wav,286504.0,116.42,32,5.19
1700.0,604.08,cr_audio1.wav,286660.0,115.95,32,5.11
1700.0,600.24,cr_audio1.wav,284276.0,116.39,32,5.14
1700.0,612.47,cr_audio1.wav,285808.0,119.88,32,5.06
1700.0,603.63,cr_audio1.wav,287428.0,119.35,32,5.05
1900.0,413.42,cr_audio1.wav,25980.0,119.53,1,24.98
1900.0,2455.38,cr_audio1.wav,26012.0,98.21,1,24.86
1900.0,2438.59,cr_audio1.wav,26140.0,98.14,1,24.88
1900.0,2455.34,cr_audio1.wav,26424.0,98.62,1,24.95
1900.0,2473.04,cr_audio1.wav,25988.0,98.93,1,24.81
1900.0,2406.41,cr_audio1.wav,26020.0,96.85,1,24.88
1900.0,2451.87,cr_audio1.wav,25952.0,98.47,1,24.89
1900.0,2437.22,cr_audio1.wav,25920.0,97.93,1,24.9
1900.0,2444.21,cr_audio1.wav,25920.0,98.17,1,24.86
1900.0,2432.63,cr_audio1.wav,25956.0,97.94,1,24.97
1900.0,1419.87,cr_audio1.wav,178916.0,104.37,8,9.34
1900.0,1036.58,cr_audio1.wav,174264.0,110.81,8,9.34
1900.0,1022.82,cr_audio1.wav,170592.0,109.31,8,9.34
1900.0,1023.88,cr_audio1.wav,174056.0,109.43,8,8.59
1900.0,962.04,cr_audio1.wav,176548.0,111.81,8,9.31
1900.0,1016.14,cr_audio1.wav,174248.0,109.08,8,9.36
1900.0,1026.64,cr_audio1.wav,172500.0,109.6,8,8.57
1900.0,958.72,cr_audio1.wav,172924.0,112.08,8,9.32
1900.0,1024.57,cr_audio1.wav,168252.0,109.51,8,9.41
1900.0,1034.94,cr_audio1.wav,170724.0,109.43,8,9.0
2300.0,384.89,cr_audio1.wav,27192.0,129.74,1,21.35
2300.0,2214.58,cr_audio1.wav,25972.0,103.71,1,20.7
2300.0,2115.4,cr_audio1.wav,25904.0,102.18,1,20.59
2300.0,2153.96,cr_audio1.wav,25976.0,104.6,1,20.67
