FR,EN,Name,TR,DC,TIM
2400.0,9205.63,sort,1,5299.76,86670.6
2400.0,9261.03,sort,1,5334.68,86611.9
2400.0,9174.43,sort,1,5255.8,86646.5
2400.0,9273.62,sort,1,5342.03,86696.7
2400.0,9147.09,sort,1,5204.36,86669.1
2400.0,9256.16,sort,1,5353.9,86352.1
2400.0,8815.29,sort,1,5041.08,86630.1
2400.0,9200.4,sort,1,5340.01,86636.2
2400.0,7266.58,sort,1,4140.18,86648.4
2400.0,9242.08,sort,1,5331.6,86638
2400.0,6766.64,sort,2,4289.97,54282.5
2400.0,6688.32,sort,2,4281.76,54230.5
2400.0,6659.79,sort,2,4292.08,54282.5
2400.0,6699.15,sort,2,4292.71,54142.6
2400.0,6782.84,sort,2,4266.94,54243.9
2400.0,6783.15,sort,2,4274.47,54185
2400.0,6797.92,sort,2,4270.69,54393.3
2400.0,5551.49,sort,2,3560.96,54315.2
2400.0,6780.13,sort,2,4288.74,54258.6
2400.0,6029.42,sort,2,3837.13,54243.7
2400.0,2325.09,sort,8,1576.68,15149.6
2400.0,2377.27,sort,8,1702.05,14536.8
2400.0,2368.02,sort,8,1604.23,15008.3
2400.0,640.903,sort,8,573.069,13962.8
2400.0,2331.55,sort,8,1666.02,14075.4
2400.0,2296.44,sort,8,1738.55,15206.4
2400.0,2329.75,sort,8,1564.85,14037.2
2400.0,2392.09,sort,8,1699.74,14632.4
2400.0,2263,sort,8,1665.68,13947.3
2400.0,1120.21,sort,8,1011.16,15179.8
2400.0,1070.92,sort,32,917.186,5058.64
2400.0,940.672,sort,32,709.104,5109.08
2400.0,1039.99,sort,32,905.262,4971.73
2400.0,1073.03,sort,32,879.372,4600.56
2400.0,1129.55,sort,32,835.239,4774.79
2400.0,847.571,sort,32,666.797,4640.76
2400.0,1110.09,sort,32,875.573,4603.36
2400.0,1120.86,sort,32,882.071,4724.54
2400.0,1002.36,sort,32,793.427,4912.59
2400.0,1186.63,sort,32,927.448,5165.04
1200.0,12378.1,sort,1,6291.83,128997
1200.0,12392,sort,1,6331.66,128975
1200.0,12381.1,sort,1,6267.43,128912
1200.0,12116.1,sort,1,6194.67,128873
1200.0,12379,sort,1,6337.59,128892
1200.0,12390.1,sort,1,6303.06,129029
1200.0,12377.6,sort,1,6327.39,128892
1200.0,12373.2,sort,1,6341.17,128809
1200.0,12374.7,sort,1,6319.59,128850
1200.0,12128.9,sort,1,6198.4,128817
1200.0,8104.01,sort,2,4408.19,78585.9
1200.0,7627.81,sort,2,4083.29,78792
1200.0,8051.21,sort,2,4328.73,78464
1200.0,7999.37,sort,2,4343.76,78430.7
1200.0,7892.35,sort,2,4415.77,78517.1
1200.0,7999.02,sort,2,4348.02,78357
1200.0,8026.85,sort,2,4345.38,78476.6
1200.0,8115.26,sort,2,4387.92,78724.6
1200.0,8086.87,sort,2,4401.61,78383.4
1200.0,8089.77,sort,2,4412.84,78415.1
1200.0,4365.47,sort,4,2447.59,39529
1200.0,4050.72,sort,4,2323.38,39214.7
1200.0,4335.01,sort,4,2459.34,39230.1
1200.0,4343.25,sort,4,2479.3,39311.1
1200.0,4405.74,sort,4,2501.09,39834.8
1200.0,4354.38,sort,4,2501.54,39467.1
1200.0,4331.74,sort,4,2479.3,39204.5
1200.0,4325.12,sort,4,2462.05,39576.9
1200.0,4289.8,sort,4,2470.38,39226
1200.0,4333,sort,4,2489.39,39312.4
1200.0,1628.63,sort,16,1102.99,10778.3
1200.0,1696.21,sort,16,1129.4,11601.3
1200.0,1657.82,sort,16,1003.56,11209.5
1200.0,1639.93,sort,16,1050.94,11058.8
1200.0,1622.13,sort,16,1078.5,10900.1
1200.0,1641.01,sort,16,1111.08,10791.4
1200.0,1648.67,sort,16,1061.8,10983.7
1200.0,1629.91,sort,16,1114.74,11947.1
1200.0,1700.7,sort,16,1115.98,11718.9
1200.0,1577.09,sort,16,1108.76,10992.9
1400.0,7476.82,sort,2,4147.19,71184.7
1400.0,7571.83,sort,2,4182.36,71548
1400.0,7524.35,sort,2,4192.59,71096.4
1400.0,7463.58,sort,2,4172.82,71460.5
1400.0,7547.39,sort,2,4188.03,71325.9
1400.0,7566.56,sort,2,4211.76,71495.5
1400.0,7503.43,sort,2,4172,71277.8
1400.0,7571.85,sort,2,4200,71480.9
1400.0,7576.09,sort,2,4224.89,71502.4
1400.0,7518.22,sort,2,4217.24,71498.1
1400.0,4082.14,sort,4,2405.6,35656.3
1400.0,4107.97,sort,4,2428.37,35836.2
1400.0,3970.29,sort,4,2351.02,35512.9
1400.0,3987.61,sort,4,2407.31,35651.8
1400.0,4050.22,sort,4,2390.87,36037.3
1400.0,4091.02,sort,4,2432.17,35816.6
1400.0,4094.83,sort,4,2410,35752.9
1400.0,4079.34,sort,4,2404.48,35645
1400.0,3953.14,sort,4,2352.96,35678.8
1400.0,4145.65,sort,4,2445.85,36174.9
1400.0,2410.57,sort,8,1537.1,18281.2
1400.0,2417.07,sort,8,1533.56,18651.3
1400.0,2419.06,sort,8,1530.71,18447.1
1400.0,2445.22,sort,8,1569.53,19464.6
1400.0,2323.36,sort,8,1533.9,18414.6
1400.0,2435.27,sort,8,1492.12,18645.8
1400.0,2409.63,sort,8,1526.47,18395.2
1400.0,2418.84,sort,8,1544.28,18285.1
1400.0,2553.55,sort,8,1575.28,20123.9
1400.0,2425.74,sort,8,1537.5,18508.8
1400.0,934.703,sort,32,757.004,5094.5
1400.0,1045.79,sort,32,755.532,4924.84
1400.0,1014.48,sort,32,739.928,5038.02
1400.0,1049.05,sort,32,792.974,4955.71
1400.0,1078.91,sort,32,806.349,6489.66
1400.0,1050.52,sort,32,792.015,5026.86
1400.0,1050.75,sort,32,798.315,5055.63
1400.0,1049.71,sort,32,793.797,4937.68
1400.0,1070.17,sort,32,789.723,5263.81
1400.0,891.279,sort,32,763.926,5035.76
1700.0,10327.3,sort,1,5498.34,103588
1700.0,10255.4,sort,1,5497.21,103720
1700.0,10329.7,sort,1,5453.01,103762
1700.0,10253.5,sort,1,5440.11,103623
1700.0,10337.1,sort,1,5451.45,103658
1700.0,10299,sort,1,5404.45,103701
1700.0,10323,sort,1,5398.45,103645
1700.0,10291.5,sort,1,5395,103644
1700.0,10293.4,sort,1,5401.4,103644
1700.0,10331,sort,1,5515.24,103662
1700.0,3890.59,sort,4,2402.7,32243.4
1700.0,3904.52,sort,4,2370.07,31940.1
1700.0,3730.08,sort,4,2196.01,31921.9
1700.0,3669.35,sort,4,2298.3,31982.5
1700.0,3944.83,sort,4,2383.71,32239.7
1700.0,3606.98,sort,4,2181.7,32133.9
1700.0,3906.43,sort,4,2358.27,32015.1
1700.0,3902.77,sort,4,2321.72,31970.3
1700.0,3940.81,sort,4,2408.75,32228.9
1700.0,3853.75,sort,4,2337.08,32237.2
1700.0,1741.18,sort,8,1253.43,18265.9
1700.0,2332.67,sort,8,1514.05,17941.7
1700.0,2329.17,sort,8,1515.05,16637.3
1700.0,2219.07,sort,8,1445.42,16473
1700.0,2357.47,sort,8,1476.89,16941
1700.0,2321.21,sort,8,1511.6,16525.9
1700.0,2369.05,sort,8,1445.44,17243.1
1700.0,2335.16,sort,8,1449.69,16991.9
1700.0,2173.2,sort,8,1508.35,16515.9
1700.0,2343.92,sort,8,1570.56,16726.4
1700.0,1526.37,sort,16,1103.45,8789.8
1700.0,1435.88,sort,16,1117.3,9007.35
1700.0,1537.2,sort,16,1102.72,8833.84
1700.0,1384.66,sort,16,1096.05,8875.27
1700.0,1525.84,sort,16,1096.78,8571.81
1700.0,1415.48,sort,16,975.442,8764.48
1700.0,1384.12,sort,16,1002.67,8761.9
1700.0,1543.8,sort,16,1035.65,8726.67
1700.0,1532.07,sort,16,1008.97,9085.63
1700.0,1561.67,sort,16,1106.56,9537.9
1900.0,6846.33,sort,2,4031.53,60733.5
1900.0,6795.93,sort,2,4145.19,60696.6
1900.0,6921.67,sort,2,4073.36,61037.7
1900.0,6902.61,sort,2,4153.66,60751.6
1900.0,7239.84,sort,2,4320.44,64193.6
1900.0,6909.55,sort,2,4173.74,60634.5
1900.0,6837.88,sort,2,4191.96,60852.1
1900.0,6870.01,sort,2,4104.74,60781.6
1900.0,6833.82,sort,2,4145.27,60428.5
1900.0,6812.67,sort,2,4054.39,60663.4
1900.0,2221.99,sort,8,1547.43,16379.8
1900.0,2312.15,sort,8,1584.38,15836.8
1900.0,2309.88,sort,8,1538.06,15761.2
