FR,EN,Name,TR,DC,TIM
1200.0,9525.66,sort,1,5040.74,100914
1200.0,9435.01,sort,1,4987.3,99919.8
1200.0,9559.32,sort,1,5050.79,101218
1200.0,9405.87,sort,1,4973.93,99662.4
1200.0,9404.89,sort,1,4980.86,99631.2
1200.0,9467.01,sort,1,5002.66,100277
1200.0,9525.1,sort,1,5103.69,100871
1200.0,9471.53,sort,1,5001.84,100346
1200.0,9359,sort,1,4946.76,99127.4
1200.0,9527.21,sort,1,5064.63,100891
1200.0,5280.31,sort,2,2926.23,52866.1
1200.0,5275.78,sort,2,2920.36,52806.4
1200.0,5414.17,sort,2,3021.73,54216.2
1200.0,5328.81,sort,2,2954.85,53391.7
1200.0,5362.49,sort,2,2970.28,53743.6
1200.0,5247.71,sort,2,2908.55,52577.7
1200.0,5353.42,sort,2,2979.08,53635.4
1200.0,5298.43,sort,2,2956.28,53044.5
1200.0,5317.79,sort,2,2947.88,53218.9
1200.0,5331.73,sort,2,2979.66,53390.4
1200.0,3468.61,sort,4,2005.79,33005.8
1200.0,3420.08,sort,4,1966.27,32517
1200.0,3494.84,sort,4,2029.09,33241.1
1200.0,3463.25,sort,4,1997.39,32936.3
1200.0,3466.87,sort,4,1992.47,32990.4
1200.0,3500.46,sort,4,2022.52,33294.5
1200.0,3494.7,sort,4,2009.33,33330.8
1200.0,3538.79,sort,4,2043.07,33743.8
1200.0,3511.89,sort,4,2022.75,33476.7
1200.0,3578.44,sort,4,2057.01,34090.2
1200.0,1279.71,sort,16,830.876,9833.98
1200.0,1291.39,sort,16,849.805,9744.46
1200.0,1212.28,sort,16,798.33,9179.51
1200.0,1278.61,sort,16,831.788,9809.23
1200.0,1295.83,sort,16,840.109,10031.9
1200.0,1324.49,sort,16,853.192,10325.2
1200.0,1340.83,sort,16,866.346,10436.6
1200.0,1205.15,sort,16,791.575,9081.12
1200.0,1266.74,sort,16,823.774,9676.37
1200.0,1268.52,sort,16,830.262,9609.07
1400.0,4790.41,sort,2,2736.32,46990.2
1400.0,4786.78,sort,2,2738.37,46963.9
1400.0,4733.23,sort,2,2698.76,46340
1400.0,4679.71,sort,2,2676.79,45831.9
1400.0,4776.48,sort,2,2725.5,46774.3
1400.0,4772.84,sort,2,2727.99,46722.3
1400.0,4796.52,sort,2,2742.7,47021.7
1400.0,4757.79,sort,2,2722.48,46593.7
1400.0,4757.45,sort,2,2726.52,46585.4
1400.0,4738.9,sort,2,2711.04,46407.6
1400.0,3133.58,sort,4,1864.99,28926.6
1400.0,3140.82,sort,4,1863.84,29082.6
1400.0,3163.88,sort,4,1879.72,29282.7
1400.0,3107.76,sort,4,1852.68,28677.6
1400.0,3167.82,sort,4,1883.45,29274.7
1400.0,3154.06,sort,4,1878.66,29135.6
1400.0,3178.22,sort,4,1893.75,29356.2
1400.0,3111.55,sort,4,1848.2,28789
1400.0,3178.4,sort,4,1889.98,29390.1
1400.0,3137.96,sort,4,1851.44,29051.6
1400.0,1881.36,sort,8,1192.87,15521.2
1400.0,2009.88,sort,8,1253.04,17070.1
1400.0,1956.03,sort,8,1233.67,16234.9
1400.0,1970.99,sort,8,1243.04,16378.2
1400.0,1987.33,sort,8,1241.6,16820.5
1400.0,1734.43,sort,8,1150.15,15961.1
1400.0,1950.48,sort,8,1228.62,16242.2
1400.0,1936.98,sort,8,1212.64,16159.2
1400.0,1896.48,sort,8,1179.74,15868.5
1400.0,1890.28,sort,8,1196.12,15645.6
1400.0,727.219,sort,32,511.411,4765.51
1400.0,736.105,sort,32,520.822,4738.58
1400.0,717.949,sort,32,507.529,4675.54
1400.0,732.797,sort,32,515.701,4797.93
1400.0,737.97,sort,32,519.166,4782.16
1400.0,735.336,sort,32,515.099,4814.12
1400.0,734.975,sort,32,515.606,4769.8
1400.0,399.956,sort,32,304.226,4789.72
1400.0,712.205,sort,32,496.528,4639.09
1400.0,750.082,sort,32,520.448,4928.55
1700.0,7279.87,sort,1,3986.65,74842.5
1700.0,7157.13,sort,1,3917.66,73176.1
1700.0,7195.23,sort,1,3937.43,73574.9
1700.0,7101.73,sort,1,3883.48,72584.4
1700.0,7117.18,sort,1,3867.03,73177.5
1700.0,7075.67,sort,1,3899.85,73034
1700.0,7164.98,sort,1,3922.6,73269.8
1700.0,7125.97,sort,1,3923.58,74007.4
1700.0,7143.42,sort,1,3921.51,73354.1
1700.0,7206.02,sort,1,3942.27,73634
1700.0,2886.2,sort,4,1676.66,25042.5
1700.0,2879.4,sort,4,1758.18,24917.7
1700.0,2683.95,sort,4,1626.82,24711.6
1700.0,2863.66,sort,4,1747.23,24836.5
1700.0,2809.95,sort,4,1739.71,24764.1
1700.0,2780.8,sort,4,1701.6,24623.9
1700.0,2905.81,sort,4,1770.65,25259.9
1700.0,2843,sort,4,1654.7,24667.8
1700.0,2827.3,sort,4,1757.65,25134.9
1700.0,2863.14,sort,4,1744.87,24863
1700.0,1769.24,sort,8,1136,13701.6
1700.0,1775.05,sort,8,1148.27,13728.2
1700.0,1768.15,sort,8,1142.98,13752.8
1700.0,1706.9,sort,8,1092,13538.3
1700.0,1779.21,sort,8,1139.8,13949.9
1700.0,1737.48,sort,8,1132.11,13777.9
1700.0,1746.65,sort,8,1121.33,13811.5
1700.0,1609.9,sort,8,1042.64,13032.7
1700.0,1705.13,sort,8,1109.54,13676.7
1700.0,1781.55,sort,8,1145.59,13982.7
1700.0,1103.89,sort,16,683.766,7200.34
1700.0,1051.57,sort,16,759.925,7028.24
1700.0,1120.42,sort,16,772.244,7548.09
1700.0,1045.9,sort,16,734.797,7338.64
1700.0,1072.09,sort,16,768.901,7369.63
1700.0,1097.27,sort,16,770.156,7072.96
1700.0,1152.45,sort,16,716.637,7660.59
1700.0,1090.54,sort,16,753.234,7251.89
1700.0,1097.14,sort,16,645.224,7112.34
1700.0,994.186,sort,16,734.597,7216.55
1900.0,4041.29,sort,2,2410.13,36823.1
1900.0,4008.66,sort,2,2345.52,36407
1900.0,4058.58,sort,2,2415.87,36909.7
1900.0,4017.98,sort,2,2414.87,36860.7
1900.0,4065.3,sort,2,2419.98,36967.2
1900.0,4060.05,sort,2,2381.46,36911.1
1900.0,4043.31,sort,2,2408.32,36846.4
1900.0,3983.54,sort,2,2312.02,36209.5
1900.0,3964.56,sort,2,2372.64,36189.3
1900.0,4062.45,sort,2,2333.52,36935.3
1900.0,1734.63,sort,8,1132.18,13240
1900.0,1714.66,sort,8,1135.07,12657.5
1900.0,1612.64,sort,8,1066.49,12599.6
1900.0,1662.74,sort,8,1056.16,12408.4
1900.0,1677.35,sort,8,1074.99,12386.5
1900.0,1731.18,sort,8,1115.95,12994.3
1900.0,1602,sort,8,1057.57,11912.7
1900.0,1716.03,sort,8,1121.47,13048.2
1900.0,1685.73,sort,8,1105.37,13035.5
1900.0,1549.85,sort,8,1117.84,12604.2
1900.0,963.121,sort,16,668.316,6839.81
1900.0,1036.03,sort,16,645.973,6801.43
1900.0,1107.16,sort,16,780.196,6968.97
1900.0,1108.3,sort,16,782.257,6940.76
1900.0,1033.35,sort,16,724.865,6290.28
1900.0,1139.21,sort,16,800.182,7270.03
1900.0,1116.26,sort,16,788.959,6966.85
1900.0,1066.24,sort,16,760.775,6541.73
1900.0,1079.03,sort,16,763.865,6751.66
1900.0,1114.02,sort,16,790.3,6895.48
1900.0,589.067,sort,32,441.304,3687.85
1900.0,568.219,sort,32,429.417,3594.12
1900.0,678.181,sort,32,376.396,3691.64
1900.0,670.979,sort,32,497.044,3648.68
1900.0,669.87,sort,32,498.43,3630.34
1900.0,667.646,sort,32,498.607,3599.42
1900.0,670.709,sort,32,497.543,3680.08
1900.0,675.855,sort,32,501.288,3729.15
1900.0,594.11,sort,32,474.331,3613.39
1900.0,475.725,sort,32,119.974,3631.64
2200.0,6035.22,sort,1,3448.31,58906.4
2200.0,6111.2,sort,1,3446.36,60120.8
2200.0,6176.58,sort,1,3442.85,59896.4
2200.0,6157.02,sort,1,3490.14,59688
2200.0,6141.33,sort,1,3497.26,59811.3
2200.0,6063.06,sort,1,3433.17,58769.5
2200.0,5994.01,sort,1,3403.67,59117.5
2200.0,6075.87,sort,1,3440.91,58893.4
2200.0,6056.93,sort,1,3433,59089.3
2200.0,5967.09,sort,1,3448.14,58920.7
2200.0,2567.59,sort,4,1544.7,20301.6
2200.0,2550.69,sort,4,1639.31,20059.2
2200.0,2546.38,sort,4,1631.95,20094.8
2200.0,2486.28,sort,4,1597.18,19878.8
2200.0,2455.35,sort,4,1584.12,19927.8
2200.0,2596.11,sort,4,1663.2,20507.3
2200.0,2557.93,sort,4,1644.78,20118.3
2200.0,2462.34,sort,4,1601.41,20018.4
2200.0,2546.42,sort,4,1633.92,20119.4
2200.0,2500.67,sort,4,1617.03,20252.1
2200.0,1036.68,sort,16,732.53,5733.54
2200.0,851.73,sort,16,634.393,5757.58
2200.0,1047.75,sort,16,767.231,5862.55
2200.0,1048.11,sort,16,763.617,5974.26
2200.0,1066.98,sort,16,784.036,5913.79
2200.0,1026.59,sort,16,782.24,6015.91
2200.0,960.387,sort,16,760.942,6034.57
2200.0,882.626,sort,16,651.747,5756.67
2200.0,1034.9,sort,16,684.107,5848.98
2200.0,1031.71,sort,16,761.533,5763.72
2200.0,460.582,sort,32,436.998,3298.5
2200.0,668.598,sort,32,514.754,3252.52
2200.0,450.7,sort,32,361.172,3107.62
2200.0,538.163,sort,32,433.416,3234.15
2200.0,494.875,sort,32,387.892,3289.34
2200.0,553.709,sort,32,436.893,3311.37
2200.0,599.113,sort,32,464.5,3265.4
2200.0,662.577,sort,32,509.61,3298.26
2200.0,472.009,sort,32,510.549,3315.37
2200.0,654.017,sort,32,501.629,3198.52
2400.0,5754.8,sort,1,3321.62,54908.4
2400.0,5701.77,sort,1,3325.47,55115.7
2400.0,5699.05,sort,1,3268.02,55134.9
2400.0,5800.63,sort,1,3328.02,55176.4
2400.0,5680.17,sort,1,3268.31,54922.1
2400.0,5784.5,sort,1,3343.65,55378
2400.0,5767.4,sort,1,3322.59,55252.3
2400.0,5719.45,sort,1,3326.79,55088.6
2400.0,5747.53,sort,1,3298.84,55072.1
2400.0,5689.41,sort,1,3272.42,54879.5
2400.0,3588.18,sort,2,2243.2,30370.1
2400.0,3632.04,sort,2,2305.97,30491
2400.0,3710.79,sort,2,2318.2,30668.4
2400.0,3531.2,sort,2,2214.07,30232.6
2400.0,3710.89,sort,2,2288.26,30672.4
2400.0,3645.1,sort,2,2295.94,30382.6
2400.0,3615.22,sort,2,2293.1,30722.2
2400.0,3691.28,sort,2,2306.18,30519
2400.0,3624.94,sort,2,2265.93,30963.2
2400.0,3683.67,sort,2,2308.01,30722.1
2400.0,1343.58,sort,8,970.18,9949.03
2400.0,1594.03,sort,8,981.713,10492.7
2400.0,1436.06,sort,8,1007.65,9853.7
2400.0,1516.53,sort,8,1052.09,10387
2400.0,1562.47,sort,8,1084.73,10234.9
2400.0,1447.95,sort,8,930.403,10236.7
2400.0,1457.73,sort,8,1012.32,10464.2
2400.0,1523.86,sort,8,1063.45,10424.7
2400.0,1574.09,sort,8,1103.15,10426.3
2400.0,1648.33,sort,8,1128.83,11167.9
2400.0,662.992,sort,32,516.335,3001.82
2400.0,652.589,sort,32,507.405,2939.67
2400.0,645.801,sort,32,508.182,3102.77
2400.0,551.713,sort,32,441.917,2997.52
